,id,score_normalized,reviewed_at,vintage_id
416,2530260,95,2017-12-01T00:00:00Z,1787087
417,3321496,94,2018-12-01T00:00:00Z,1787087
418,3495454,95,2019-06-28T00:00:00Z,1787087
419,3507195,98,2020-06-15T00:00:00Z,1787087
420,3507196,95,2015-01-01T00:00:00Z,1787087
421,3507197,98,2015-01-01T00:00:00Z,1787087
422,3507198,97,2020-06-15T00:00:00Z,1787087
423,3507199,95,2015-01-01T00:00:00Z,1787087
424,3507200,97,2020-06-15T00:00:00Z,1787087
425,3507201,97,2015-01-01T00:00:00Z,1787087
426,3507216,97,2020-06-16T00:00:00Z,1787087
427,3507223,95,2020-06-17T00:00:00Z,1787087
428,3507224,96,2020-06-17T00:00:00Z,1787087
429,1366050,91,2011-04-20T00:00:00Z,1476029
430,1762028,92,2011-05-02T00:00:00Z,1476029
431,2501497,92,2013-03-01T00:00:00Z,1476029
432,2505682,92,2011-06-01T00:00:00Z,1476029
433,2542082,94,2013-11-01T00:00:00Z,1476029
434,2542083,94,2012-02-01T00:00:00Z,1476029
435,2542084,93,2011-04-01T00:00:00Z,1476029
436,2774700,93,2017-10-01T00:00:00Z,1476029
437,3164941,91,2013-09-11T00:00:00Z,1476029
438,3177951,89,2015-04-19T00:00:00Z,1476029
439,226963,93,2009-04-29T00:00:00Z,1165160
440,1369860,92,2009-08-31T00:00:00Z,1165160
441,1945962,94,2012-03-21T00:00:00Z,1165160
442,2537077,90,2011-03-01T00:00:00Z,1165160
443,2765678,92,2015-10-01T00:00:00Z,1165160
444,2839850,88,2009-06-01T00:00:00Z,1165160
445,2576859,91,2016-08-01T00:00:00Z,6062660
446,2666216,89,2017-08-31T00:00:00Z,6062660
447,1712626,95,2007-04-30T00:00:00Z,82872
448,2498601,90,2009-03-01T00:00:00Z,82872
449,2839594,88,2007-06-01T00:00:00Z,82872
450,1371312,90,2012-02-06T00:00:00Z,1401556
451,1735311,94,2010-04-27T00:00:00Z,1401556
452,1944706,92,2014-03-18T00:00:00Z,1401556
453,2506187,88,2012-03-01T00:00:00Z,1401556
454,2833442,86,2010-06-01T00:00:00Z,1401556
455,608189,100,2010-04-27T00:00:00Z,1347152
456,1871323,98,2017-02-28T00:00:00Z,1347152
457,1944704,94,2014-03-14T00:00:00Z,1347152
458,2506235,99,2012-03-01T00:00:00Z,1347152
459,2542839,89,2017-03-01T00:00:00Z,1347152
460,2542840,94,2016-06-01T00:00:00Z,1347152
461,2542841,95,2014-02-01T00:00:00Z,1347152
462,2542842,97,2013-09-01T00:00:00Z,1347152
463,2542843,98,2013-09-01T00:00:00Z,1347152
464,2542844,97,2012-10-01T00:00:00Z,1347152
465,2542845,95,2010-03-01T00:00:00Z,1347152
466,1365983,91,2012-04-19T00:00:00Z,1487878
467,2543217,92,2012-04-01T00:00:00Z,1487878
468,2663056,90,2012-04-26T00:00:00Z,1487878
469,202897,98,2009-04-29T00:00:00Z,84918
470,2537089,93,2011-03-01T00:00:00Z,84918
471,2839855,93,2009-06-01T00:00:00Z,84918
472,609773,96,2006-04-24T00:00:00Z,1293766
473,1373177,92,2012-06-30T00:00:00Z,1293766
474,1931215,94,2013-05-13T00:00:00Z,1293766
475,2545953,91,2011-04-01T00:00:00Z,1293766
476,2545954,89,2009-11-01T00:00:00Z,1293766
477,2545955,92,2007-01-01T00:00:00Z,1293766
478,2545956,89,2006-04-01T00:00:00Z,1293766
479,2839168,92,2006-06-01T00:00:00Z,1293766
480,610054,96,2002-02-28T00:00:00Z,1340728
481,1374022,86,2010-03-05T00:00:00Z,1340728
482,2841536,90,2001-06-01T00:00:00Z,1340728
483,1371295,91,2012-02-05T00:00:00Z,1352467
484,1736219,93,2010-04-27T00:00:00Z,1352467
